,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
1840,BERTHOUD PASS CO,1994,4.9,12.6,4.5,<1.7,<3,<0.5,2.5,1.7,4.6,9.1,0.3,185
1841,BERTHOUD PASS CO,1995,5.2,6.3,<3.1,<1.7,3.9,<0.5,2.9,1.7,4.4,7,0.4,145
1842,BERTHOUD PASS CO,1996,5.2,6.3,3.6,<1.7,2.2,0.5,1.5,1.1,4.4,6.8,0.5,213
1843,BERTHOUD PASS CO,1997,5.1,7.9,5.7,<1.7,,1,3,1.7,5.4,7.9,0.9,221
1844,BERTHOUD PASS CO,1998,5.1,7.9,5.5,0.8,4.8,0.8,3.5,5.1,5.6,8.9,0.8,196
1845,BERTHOUD PASS CO,1999,5.3,5,11,2.5,3.9,2.4,4.4,3.4,5.6,10.5,1.8,170
1846,BERTHOUD PASS CO,2000,5.1,7.9,5.5,1.6,8.3,1.2,4.4,7.6,5.2,9,0.75,193
1847,BERTHOUD PASS CO,2001,5.1,7.9,5.7,1.1,3.1,1.6,4,2.3,6,12.2,0.9,190
1848,BERTHOUD PASS CO,2002,5.2,6.3,10.5,1.6,2.4,0.8,3.7,2.8,4.8,13.4,0.61,130
1849,BERTHOUD PASS CO,2003,5.3,5,9,4.9,4.6,3.1,6.2,4.2,4.2,10.6,1.65,198
1850,BERTHOUD PASS CO,2004,5.3,5,6.2,1.3,1,0.9,5.7,1.4,4.4,9.7,0.67,165
1851,BERTHOUD PASS CO,2005,5.2,6.3,7.5,0.8,5.1,0.9,5.7,3.9,6,11.1,0.49,203
1852,BERTHOUD PASS CO,2006,6.5,0.3,36.9,2.5,3.3,0.8,3.2,2.8,5.6,8.6,,201
1853,BERTHOUD PASS CO,2007,5.3,5,6.2,1.2,2.3,1.5,1.3,2.5,3.7,8.1,0.74,173
1854,BERTHOUD PASS CO,2008,5.1,7.9,14.4,2.5,3.1,2.3,2.7,2.8,4.8,9.7,0.84,203
1855,BERTHOUD PASS CO,2009,6.4,0.4,31.9,2.5,3.2,2.7,<1,2.5,7.1,7.5,1.17,188
1856,BERTHOUD PASS CO,2010,5.7,2,15.9,3.3,4.2,1.7,5.5,3.7,5.2,11.1,1.11,168
1857,BERTHOUD PASS CO,2011,5.5,3.2,7,1.4,1.7,1.6,2.2,1.4,3.1,6.3,1.27,206
1858,BERTHOUD PASS CO,2012,5.3,5,16,3.3,7,1.3,3.7,5.6,6.7,7.3,0.8,117
1859,BERTHOUD PASS CO,2013,5.5,3.2,13.5,3.3,2.6,2,6.4,2.8,5.8,9.3,1,165
1860,BERTHOUD PASS CO,2014,6.5,0.3,18.5,3.3,2,6.8,14.4,2.3,4.6,6.9,1.7,218
1861,BERTHOUD PASS CO,2015,5.5,3.2,5.5,1.1,1.5,0.7,3.4,1.4,2.7,5.4,0.69,160
1862,BERTHOUD PASS CO,2016,5.5,3.2,9,1.6,3,2.1,<1,2.5,3.1,3.5,1.42,188
1863,BERTHOUD PASS CO,2017,5.8,1.6,7,0.8,3.9,1,3.7,3.7,3.7,6.1,0.75,180
1864,BERTHOUD PASS CO,2018,6,1,10.8,2.6,3.2,2.1,6.2,2.5,4.2,6.4,0.86,226
79,BIG MOUNTAIN MT,1993,5.1,7.9,<3.1,<1.7,<3,<0.5,3.2,<1.1,5.4,5.3,0.3,208
80,BIG MOUNTAIN MT,1994,5,10,<3.1,<1.7,<3,<0.5,3.9,<1.1,4.8,6.2,0.6,229
81,BIG MOUNTAIN MT,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.3,<1.1,3.7,4.4,0.7,267
82,BIG MOUNTAIN MT,1996,5.2,6.3,<3.1,<1.7,<0.9,0.5,2.2,<1.1,2.9,3.1,0.6,287
83,BIG MOUNTAIN MT,1997,5,10,<3.1,<1.7,,<0.5,2,<1.1,3.7,4.6,,366
84,BIG MOUNTAIN MT,1998,5.1,7.9,2,<0.2,1.3,<0.5,3,1.1,3.5,5.1,0.5,231
85,BIG MOUNTAIN MT,1999,5.2,6.3,1,<0.2,<1,<0.4,4,0.8,3.3,3.7,0.3,366
86,BIG MOUNTAIN MT,2000,5.2,6.3,1,0.8,<1,<0.4,2.4,<0.6,3.1,4.9,0.5,267
87,BIG MOUNTAIN MT,2001,5,10,2,0.8,1.5,<0.4,4.3,<0.6,6,8.4,0.5,132
88,BIG MOUNTAIN MT,2002,5.3,5,1.5,<0.2,5.4,<0.4,4.9,0.6,2.7,4.9,0.36,297
89,BIG MOUNTAIN MT,2003,5.2,6.3,2.5,0.8,1.1,<0.4,4,0.8,2.7,4.6,0.4,259
90,BIG MOUNTAIN MT,2004,5.1,7.9,0.7,0.2,<1,1.2,3.3,1.4,3.5,5.3,0.62,251
91,BIG MOUNTAIN MT,2005,5.1,7.9,<0.4,<0.2,<1,<0.4,3,1.1,3.5,5.5,0.23,160
92,BIG MOUNTAIN MT,2006,5.3,5,<0.4,<0.2,<1,<0.4,2.8,1.4,2.3,3.8,0.21,305
93,BIG MOUNTAIN MT,2007,5.2,6.3,1.7,0.4,1.4,<0.4,2.2,1.4,3.1,4.1,0.29,259
94,BIG MOUNTAIN MT,2008,5.1,7.9,4,<0.2,<1,<0.4,2.2,0.6,2.5,4,0.25,297
95,BIG MOUNTAIN MT,2009,5.3,5,<0.4,<0.2,<1,<0.4,2.4,<0.6,2.3,3.1,0.22,239
96,BIG MOUNTAIN MT,2010,5.3,5,1.5,0.8,1.1,0.6,4,0.8,2.9,4.1,0.48,196
97,BIG MOUNTAIN MT,2011,5.2,6.3,0.9,0.2,<1,<0.4,2.4,<0.6,2.5,3.4,0.24,315
98,BIG MOUNTAIN MT,2012,4.7,20,2,<1.6,1.3,<0.5,4.7,1.1,2.9,3.9,0.2,264
99,BIG MOUNTAIN MT,2013,5,10,3.5,<1.6,<0.9,<0.5,3.5,0.8,2.7,4.3,0.2,254
100,BIG MOUNTAIN MT,2014,5.5,3.2,1.5,<0.8,0.7,<0.3,2.6,0.5,2.3,3.7,0.3,254
101,BIG MOUNTAIN MT,2015,5.4,4,0.7,0.2,0.4,0.2,2.2,<0.6,1.5,2.5,<0.2,196
102,BIG MOUNTAIN MT,2016,5.3,5,0.5,<0.2,0.9,0.4,2.4,<0.6,1.5,2.5,0.31,269
103,BIG MOUNTAIN MT,2017,5.3,5,0.5,<0.2,0.9,0.3,2.6,0.8,2.5,3.5,0.28,312
104,BIG MOUNTAIN MT,2018,5.4,4,1.4,0.6,1,0.2,2.7,0.8,1.9,3.4,0.37,297
1865,BIG MOUNTAIN MT,1993,5.1,7.9,<3.1,<1.7,<3,<0.5,3.2,<1.1,5.4,5.3,0.3,208
