,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
869,LOCH VALE FOREST CO,1994,5,10,8.5,2.5,<3,1.3,6.8,1.4,10.6,14.8,1,244
870,LOCH VALE FOREST CO,1995,5,10,8.6,2,<3,2.6,6.2,1.4,9.8,12.9,1.8,203
871,LOCH VALE FOREST CO,1997,5,10,5.6,<1.7,,0.5,1.9,<1.1,7.3,10,0.8,320
872,LOCH VALE FOREST CO,1998,5.1,7.9,4.5,0.8,0.4,<0.5,4.4,0.8,8.1,11.3,0.6,264
873,LOCH VALE FOREST CO,1999,5.4,4,17.4,3.2,2.3,1.6,6.7,1.7,10,14.1,1.3,231
874,LOCH VALE FOREST CO,2000,5,10,8,1.6,1.5,0.6,6.7,0.8,8.1,12,0.47,231
875,LOCH VALE FOREST CO,2001,5.2,6.3,11,2.5,2.3,2.8,6,1.1,10,14.6,1.9,193
876,LOCH VALE FOREST CO,2002,5.2,6.3,13.4,2.5,2.1,1,5.7,1.7,7.9,19.3,0.74,152
877,LOCH VALE FOREST CO,2003,5.2,6.3,12.5,3.3,2.5,2,6.9,2.3,8.5,10.4,1.01,325
878,LOCH VALE FOREST CO,2004,5.2,6.3,9.7,1.5,<1,2.1,9.4,0.8,7.9,14.4,0.76,218
879,LOCH VALE FOREST CO,2005,5.2,6.3,5.5,0.8,1.1,0.9,6.3,0.6,6.9,10.9,0.4,241
880,LOCH VALE FOREST CO,2006,6,1,14.4,1.6,1.3,0.6,4.9,1.1,6.9,10.8,0.73,259
881,LOCH VALE FOREST CO,2007,5.3,5,8.7,1.6,1.2,1.5,4.7,1.4,6.2,11.4,0.83,216
882,LOCH VALE FOREST CO,2008,5.6,2.5,11.5,1.6,3.7,1,5.4,1.7,6.9,10.7,0.67,310
883,LOCH VALE FOREST CO,2009,6.1,0.8,16.9,1.6,1.5,1,2.9,0.8,5.6,7.5,0.74,251
884,LOCH VALE FOREST CO,2010,5.4,4,13.4,3.3,1.6,2.2,8.9,1.4,7.3,12,1.47,239
885,LOCH VALE FOREST CO,2011,6,1,8.3,1.6,1.2,0.9,3.8,0.6,4.6,7.6,1.02,348
886,LOCH VALE FOREST CO,2012,5.5,3.2,14.5,4.1,2.6,1,8.6,1.9,5.4,8.1,0.9,203
887,LOCH VALE FOREST CO,2013,5.4,4,10,2.5,1.7,0.8,9.3,1.7,6.9,10.7,0.7,170
888,LOCH VALE FOREST CO,2014,6,1,12,2.5,1.6,1.1,5,1,5.2,7.2,0.41,333
889,LOCH VALE FOREST CO,2015,5.6,2.5,6.8,1.2,1.3,1.3,5.4,1.1,5.2,8.6,0.78,254
890,LOCH VALE FOREST CO,2016,5.6,2.5,6,0.8,1.3,1.4,5.2,0.8,3.7,6.9,0.37,264
891,LOCH VALE FOREST CO,2017,5.5,3.2,4.5,0.8,0.9,1.6,3.9,0.8,3.5,5.4,0.67,315
892,LOCH VALE FOREST CO,2018,6.1,0.8,13.6,2.5,3.7,1,8,2.5,5.6,7.3,0.58,244
2655,LOCH VALE FOREST CO,1994,5,10,8.5,2.5,<3,1.3,6.8,1.4,10.6,14.8,1,244
2656,LOCH VALE FOREST CO,1995,5,10,8.6,2,<3,2.6,6.2,1.4,9.8,12.9,1.8,203
2657,LOCH VALE FOREST CO,1997,5,10,5.6,<1.7,,0.5,1.9,<1.1,7.3,10,0.8,320
2658,LOCH VALE FOREST CO,1998,5.1,7.9,4.5,0.8,0.4,<0.5,4.4,0.8,8.1,11.3,0.6,264
2659,LOCH VALE FOREST CO,1999,5.4,4,17.4,3.2,2.3,1.6,6.7,1.7,10,14.1,1.3,231
2660,LOCH VALE FOREST CO,2000,5,10,8,1.6,1.5,0.6,6.7,0.8,8.1,12,0.47,231
2661,LOCH VALE FOREST CO,2001,5.2,6.3,11,2.5,2.3,2.8,6,1.1,10,14.6,1.9,193
2662,LOCH VALE FOREST CO,2002,5.2,6.3,13.4,2.5,2.1,1,5.7,1.7,7.9,19.3,0.74,152
2663,LOCH VALE FOREST CO,2003,5.2,6.3,12.5,3.3,2.5,2,6.9,2.3,8.5,10.4,1.01,325
2664,LOCH VALE FOREST CO,2004,5.2,6.3,9.7,1.5,<1,2.1,9.4,0.8,7.9,14.4,0.76,218
2665,LOCH VALE FOREST CO,2005,5.2,6.3,5.5,0.8,1.1,0.9,6.3,0.6,6.9,10.9,0.4,241
2666,LOCH VALE FOREST CO,2006,6,1,14.4,1.6,1.3,0.6,4.9,1.1,6.9,10.8,0.73,259
2667,LOCH VALE FOREST CO,2007,5.3,5,8.7,1.6,1.2,1.5,4.7,1.4,6.2,11.4,0.83,216
2668,LOCH VALE FOREST CO,2008,5.6,2.5,11.5,1.6,3.7,1,5.4,1.7,6.9,10.7,0.67,310
2669,LOCH VALE FOREST CO,2009,6.1,0.8,16.9,1.6,1.5,1,2.9,0.8,5.6,7.5,0.74,251
2670,LOCH VALE FOREST CO,2010,5.4,4,13.4,3.3,1.6,2.2,8.9,1.4,7.3,12,1.47,239
2671,LOCH VALE FOREST CO,2011,6,1,8.3,1.6,1.2,0.9,3.8,0.6,4.6,7.6,1.02,348
2672,LOCH VALE FOREST CO,2012,5.5,3.2,14.5,4.1,2.6,1,8.6,1.9,5.4,8.1,0.9,203
2673,LOCH VALE FOREST CO,2013,5.4,4,10,2.5,1.7,0.8,9.3,1.7,6.9,10.7,0.7,170
2674,LOCH VALE FOREST CO,2014,6,1,12,2.5,1.6,1.1,5,1,5.2,7.2,0.41,333
2675,LOCH VALE FOREST CO,2015,5.6,2.5,6.8,1.2,1.3,1.3,5.4,1.1,5.2,8.6,0.78,254
2676,LOCH VALE FOREST CO,2016,5.6,2.5,6,0.8,1.3,1.4,5.2,0.8,3.7,6.9,0.37,264
2677,LOCH VALE FOREST CO,2017,5.5,3.2,4.5,0.8,0.9,1.6,3.9,0.8,3.5,5.4,0.67,315
2678,LOCH VALE FOREST CO,2018,6.1,0.8,13.6,2.5,3.7,1,8,2.5,5.6,7.3,0.58,244
893,LOCH VALE MEADOW CO,1993,5,10,<3.1,<1.7,<3,<0.5,3.9,<1.1,7.7,7.4,0.4,198
894,LOCH VALE MEADOW CO,1996,5.1,7.9,4.5,<1.7,1.3,<0.5,2.2,1.1,6,8,0.5,211
895,LOCH VALE MEADOW CO,1999,5.3,5,9,0.8,1.4,0.5,4.4,1.1,6.5,9.4,0.3,173
896,LOCH VALE MEADOW CO,2000,5,10,5,1.6,1.2,<0.4,4.7,0.8,6.9,9.1,<0.2,173
897,LOCH VALE MEADOW CO,2001,5.2,6.3,8.5,1.6,1.8,0.5,7.3,3.7,9.2,13.3,0.5,142
898,LOCH VALE MEADOW CO,2002,5.2,6.3,2.5,0.8,<1,<0.4,3,0.8,1.7,8.1,<0.2,109
899,LOCH VALE MEADOW CO,2003,5.8,1.6,14.4,2.5,1.1,<0.4,6.2,0.6,6,9.5,0.27,236
900,LOCH VALE MEADOW CO,2004,5.3,5,7,1.2,<1,0.9,5.7,0.8,5.8,11.5,0.49,302
901,LOCH VALE MEADOW CO,2005,5.3,5,3.5,<0.2,<1,<0.4,4.4,<0.6,4.6,8.4,<0.2,152
902,LOCH VALE MEADOW CO,2006,6.3,0.5,20.4,2.5,1.3,<0.4,3.8,1.1,5.8,10.1,0.27,173
903,LOCH VALE MEADOW CO,2007,5.3,5,6.6,1.1,1.2,0.5,4.9,0.8,5.4,9.9,0.31,178
904,LOCH VALE MEADOW CO,2008,6,1,16.4,2.5,7,0.6,7.4,2.8,9.6,11.2,0.49,244
905,LOCH VALE MEADOW CO,2009,6.2,0.6,14.9,1.6,<1,<0.4,3.3,<0.6,4.2,5.7,0.28,185
906,LOCH VALE MEADOW CO,2010,5.9,1.3,15.9,1.6,1.2,0.5,6,0.8,5.4,7.9,0.4,165
907,LOCH VALE MEADOW CO,2011,5.6,2.5,10,1.6,1.1,0.5,5.8,<0.6,5.6,8.3,0.45,244
908,LOCH VALE MEADOW CO,2012,5.5,3.2,9.5,2.5,1.3,0.8,8.1,1.2,3.7,7,0.4,99
909,LOCH VALE MEADOW CO,2013,5.4,4,9.5,2.5,1.7,<0.5,9.3,1.7,6,10,0.4,99
910,LOCH VALE MEADOW CO,2014,6.2,0.6,19.5,2.5,1.8,1.2,4.5,1,5,6.7,0.42,259
911,LOCH VALE MEADOW CO,2015,,,,,,,,,,,,124
912,LOCH VALE MEADOW CO,2016,5.8,1.6,5.5,0.8,1.3,0.3,5,0.6,3.5,5.4,<0.2,168
913,LOCH VALE MEADOW CO,2017,5.4,4,2.5,<0.2,0.4,0.2,3.3,0.6,2.9,4.2,0.22,218
914,LOCH VALE MEADOW CO,2018,6.1,0.8,10.8,1.8,3,0.6,7.2,2,5.2,6.2,0.52,142
2679,LOCH VALE MEADOW CO,1993,5,10,<3.1,<1.7,<3,<0.5,3.9,<1.1,7.7,7.4,0.4,198
2680,LOCH VALE MEADOW CO,1996,5.1,7.9,4.5,<1.7,1.3,<0.5,2.2,1.1,6,8,0.5,211
2681,LOCH VALE MEADOW CO,1999,5.3,5,9,0.8,1.4,0.5,4.4,1.1,6.5,9.4,0.3,173
2682,LOCH VALE MEADOW CO,2000,5,10,5,1.6,1.2,<0.4,4.7,0.8,6.9,9.1,<0.2,173
2683,LOCH VALE MEADOW CO,2001,5.2,6.3,8.5,1.6,1.8,0.5,7.3,3.7,9.2,13.3,0.5,142
2684,LOCH VALE MEADOW CO,2002,5.2,6.3,2.5,0.8,<1,<0.4,3,0.8,1.7,8.1,<0.2,109
2685,LOCH VALE MEADOW CO,2003,5.8,1.6,14.4,2.5,1.1,<0.4,6.2,0.6,6,9.5,0.27,236
2686,LOCH VALE MEADOW CO,2004,5.3,5,7,1.2,<1,0.9,5.7,0.8,5.8,11.5,0.49,302
2687,LOCH VALE MEADOW CO,2005,5.3,5,3.5,<0.2,<1,<0.4,4.4,<0.6,4.6,8.4,<0.2,152
2688,LOCH VALE MEADOW CO,2006,6.3,0.5,20.4,2.5,1.3,<0.4,3.8,1.1,5.8,10.1,0.27,173
2689,LOCH VALE MEADOW CO,2007,5.3,5,6.6,1.1,1.2,0.5,4.9,0.8,5.4,9.9,0.31,178
2690,LOCH VALE MEADOW CO,2008,6,1,16.4,2.5,7,0.6,7.4,2.8,9.6,11.2,0.49,244
2691,LOCH VALE MEADOW CO,2009,6.2,0.6,14.9,1.6,<1,<0.4,3.3,<0.6,4.2,5.7,0.28,185
2692,LOCH VALE MEADOW CO,2010,5.9,1.3,15.9,1.6,1.2,0.5,6,0.8,5.4,7.9,0.4,165
2693,LOCH VALE MEADOW CO,2011,5.6,2.5,10,1.6,1.1,0.5,5.8,<0.6,5.6,8.3,0.45,244
2694,LOCH VALE MEADOW CO,2012,5.5,3.2,9.5,2.5,1.3,0.8,8.1,1.2,3.7,7,0.4,99
2695,LOCH VALE MEADOW CO,2013,5.4,4,9.5,2.5,1.7,<0.5,9.3,1.7,6,10,0.4,99
2696,LOCH VALE MEADOW CO,2014,6.2,0.6,19.5,2.5,1.8,1.2,4.5,1,5,6.7,0.42,259
2697,LOCH VALE MEADOW CO,2015,,,,,,,,,,,,124
2698,LOCH VALE MEADOW CO,2016,5.8,1.6,5.5,0.8,1.3,0.3,5,0.6,3.5,5.4,<0.2,168
2699,LOCH VALE MEADOW CO,2017,5.4,4,2.5,<0.2,0.4,0.2,3.3,0.6,2.9,4.2,0.22,218
2700,LOCH VALE MEADOW CO,2018,6.1,0.8,10.8,1.8,3,0.6,7.2,2,5.2,6.2,0.52,142
920,LOVELAND PASS CO,1993,5.1,7.9,3.7,<1.7,<3,<0.5,2.5,1.4,6.2,7.6,0.3,190
921,LOVELAND PASS CO,1994,5.4,4,12.9,4,5.2,4.9,4.7,4.2,6.7,11.4,5.7,150
922,LOVELAND PASS CO,1995,5.2,6.3,7.5,<1.7,<3,0.8,3.4,1.7,5,8.4,1,188
923,LOVELAND PASS CO,1996,5.4,4,7,<1.7,2.2,<0.5,1.7,1.7,5,6.9,0.5,292
924,LOVELAND PASS CO,1997,5.4,4,6.4,<1.7,,<0.5,2.3,2,5.4,7.9,,259
925,LOVELAND PASS CO,1998,5.2,6.3,7.5,1.6,2.6,<0.5,1.8,2.3,4.8,9.2,0.5,168
926,LOVELAND PASS CO,1999,5.2,6.3,10,1.6,2.3,1,4,2.3,5.2,12.5,0.5,239
927,LOVELAND PASS CO,2000,5.2,6.3,7,2.5,2.2,0.5,2.9,2,4.8,7.8,0.39,188
928,LOVELAND PASS CO,2001,5.8,1.6,13.4,3.3,2.4,0.5,5.9,2,6,9.2,0.29,190
929,LOVELAND PASS CO,2001,5.3,5,10,2.5,2.5,<0.4,3.9,2,6,11.1,0.5,190
930,LOVELAND PASS CO,2002,5.7,2,24.9,7.3,4.8,0.7,6.2,6.8,7.5,24.5,0.75,130
931,LOVELAND PASS CO,2003,5.7,2,12.5,3.3,2.7,0.9,5,2.5,5.2,9.4,0.64,201
932,LOVELAND PASS CO,2004,5.2,6.3,3.7,1.2,1.1,<0.4,5.2,2.3,3.7,8.4,0.4,145
933,LOVELAND PASS CO,2005,5.3,5,4.5,1.6,2.7,0.5,3.3,3.4,3.1,7.2,0.42,160
934,LOVELAND PASS CO,2006,7.2,0.1,79.3,4.9,5.9,1.1,4.3,4.5,8.3,13.8,,211
935,LOVELAND PASS CO,2007,5.3,5,5.6,1.2,1.9,0.4,2.7,2.5,3.7,8.6,0.37,188
936,LOVELAND PASS CO,2008,5.6,2.5,9,1.6,2.7,<0.4,3.3,2.8,3.3,6.5,0.21,211
937,LOVELAND PASS CO,2009,6.5,0.3,28.9,2.5,2.1,0.7,3.2,2.3,4.8,6,0.53,160
938,LOVELAND PASS CO,2010,6.7,0.2,47.3,4,2.4,0.8,3.2,3.7,4.2,6.7,0.52,117
939,LOVELAND PASS CO,2011,5.5,3.2,4.1,1.2,1.3,<0.4,4.4,1.4,2.9,5.8,0.25,249
940,LOVELAND PASS CO,2012,5.5,3.2,16.5,4.9,7,1.3,4.9,7.3,5.2,6.4,1.1,104
941,LOVELAND PASS CO,2013,5.5,3.2,10.5,2.5,3,0.5,5,3.4,4.4,7.1,0.4,147
942,LOVELAND PASS CO,2014,6.3,0.5,27.4,3.3,3.2,0.6,6,2.3,7.9,6.4,0.23,244
943,LOVELAND PASS CO,2015,5.5,3.2,3.1,1.6,1.8,0.2,3.5,2.5,2.3,4.8,<0.2,145
944,LOVELAND PASS CO,2016,5.9,1.3,7.5,0.8,2.6,0.7,3.7,2.5,2.5,4.7,<0.2,180
945,LOVELAND PASS CO,2017,5.6,2.5,3.5,0.8,1.7,0.2,2.6,2.5,2.3,4.5,<0.2,206
946,LOVELAND PASS CO,2018,5.8,1.6,8.5,2.4,4.7,1.3,5.2,5.1,3.1,5.5,0.68,157
2706,LOVELAND PASS CO,1993,5.1,7.9,3.7,<1.7,<3,<0.5,2.5,1.4,6.2,7.6,0.3,190
2707,LOVELAND PASS CO,1994,5.4,4,12.9,4,5.2,4.9,4.7,4.2,6.7,11.4,5.7,150
2708,LOVELAND PASS CO,1995,5.2,6.3,7.5,<1.7,<3,0.8,3.4,1.7,5,8.4,1,188
2709,LOVELAND PASS CO,1996,5.4,4,7,<1.7,2.2,<0.5,1.7,1.7,5,6.9,0.5,292
2710,LOVELAND PASS CO,1997,5.4,4,6.4,<1.7,,<0.5,2.3,2,5.4,7.9,,259
2711,LOVELAND PASS CO,1998,5.2,6.3,7.5,1.6,2.6,<0.5,1.8,2.3,4.8,9.2,0.5,168
2712,LOVELAND PASS CO,1999,5.2,6.3,10,1.6,2.3,1,4,2.3,5.2,12.5,0.5,239
2713,LOVELAND PASS CO,2000,5.2,6.3,7,2.5,2.2,0.5,2.9,2,4.8,7.8,0.39,188
2714,LOVELAND PASS CO,2001,5.8,1.6,13.4,3.3,2.4,0.5,5.9,2,6,9.2,0.29,190
2715,LOVELAND PASS CO,2001,5.3,5,10,2.5,2.5,<0.4,3.9,2,6,11.1,0.5,190
2716,LOVELAND PASS CO,2002,5.7,2,24.9,7.3,4.8,0.7,6.2,6.8,7.5,24.5,0.75,130
2717,LOVELAND PASS CO,2003,5.7,2,12.5,3.3,2.7,0.9,5,2.5,5.2,9.4,0.64,201
2718,LOVELAND PASS CO,2004,5.2,6.3,3.7,1.2,1.1,<0.4,5.2,2.3,3.7,8.4,0.4,145
2719,LOVELAND PASS CO,2005,5.3,5,4.5,1.6,2.7,0.5,3.3,3.4,3.1,7.2,0.42,160
2720,LOVELAND PASS CO,2006,7.2,0.1,79.3,4.9,5.9,1.1,4.3,4.5,8.3,13.8,,211
2721,LOVELAND PASS CO,2007,5.3,5,5.6,1.2,1.9,0.4,2.7,2.5,3.7,8.6,0.37,188
2722,LOVELAND PASS CO,2008,5.6,2.5,9,1.6,2.7,<0.4,3.3,2.8,3.3,6.5,0.21,211
2723,LOVELAND PASS CO,2009,6.5,0.3,28.9,2.5,2.1,0.7,3.2,2.3,4.8,6,0.53,160
2724,LOVELAND PASS CO,2010,6.7,0.2,47.3,4,2.4,0.8,3.2,3.7,4.2,6.7,0.52,117
2725,LOVELAND PASS CO,2011,5.5,3.2,4.1,1.2,1.3,<0.4,4.4,1.4,2.9,5.8,0.25,249
2726,LOVELAND PASS CO,2012,5.5,3.2,16.5,4.9,7,1.3,4.9,7.3,5.2,6.4,1.1,104
2727,LOVELAND PASS CO,2013,5.5,3.2,10.5,2.5,3,0.5,5,3.4,4.4,7.1,0.4,147
2728,LOVELAND PASS CO,2014,6.3,0.5,27.4,3.3,3.2,0.6,6,2.3,7.9,6.4,0.23,244
2729,LOVELAND PASS CO,2015,5.5,3.2,3.1,1.6,1.8,0.2,3.5,2.5,2.3,4.8,<0.2,145
2730,LOVELAND PASS CO,2016,5.9,1.3,7.5,0.8,2.6,0.7,3.7,2.5,2.5,4.7,<0.2,180
2731,LOVELAND PASS CO,2017,5.6,2.5,3.5,0.8,1.7,0.2,2.6,2.5,2.3,4.5,<0.2,206
2732,LOVELAND PASS CO,2018,5.8,1.6,8.5,2.4,4.7,1.3,5.2,5.1,3.1,5.5,0.68,157
947,LYNX PASS CO,1993,4.9,12.6,<3.1,<1.7,<3,<0.5,2.2,<1.1,7.1,9.5,0.4,140
948,LYNX PASS CO,1994,4.8,15.8,7.5,<1.7,<3,<0.5,3.9,1.1,7.7,13.7,0.7,109
949,LYNX PASS CO,1995,5,10,3.9,<1.7,<3,<0.5,3.8,<1.1,5.8,11.7,0.7,127
950,LYNX PASS CO,1996,5.1,7.9,4,<1.7,<0.9,<0.5,1.4,<1.1,4.6,8,0.4,178
951,LYNX PASS CO,1997,5,10,4.8,<1.7,,1,1.7,<1.1,5.8,8.6,1,137
952,LYNX PASS CO,1998,4.7,20,3.5,0.8,0.4,<0.5,2.9,1.1,6.9,14.8,0.5,122
953,LYNX PASS CO,1999,5.9,1.3,18.9,2.5,2,0.7,3.7,1.4,7.5,13.1,0.5,122
954,LYNX PASS CO,2000,5,10,6.5,1.6,1.1,0.6,3.3,<0.6,6.5,12,0.5,142
955,LYNX PASS CO,2001,5.2,6.3,8.5,1.6,1.8,0.9,8.4,<0.6,6.2,15.8,0.7,112
956,LYNX PASS CO,2002,5,10,10,1.6,1.6,0.5,3.5,1.1,5.6,16.6,0.42,109
957,LYNX PASS CO,2003,5,10,5.5,1.6,<1,0.5,4.5,0.8,5,12.5,0.31,130
958,LYNX PASS CO,2004,5.4,4,11,1.5,<1,1.1,2.9,0.6,3.5,11.8,0.28,81
959,LYNX PASS CO,2005,5.3,5,7,0.8,2.2,<0.4,3.2,1.1,5.8,9.5,0.24,119
960,LYNX PASS CO,2006,5.8,1.6,7.5,0.8,1.3,<0.4,3.2,1.1,4.4,10.2,0.31,173
2733,LYNX PASS CO,1993,4.9,12.6,<3.1,<1.7,<3,<0.5,2.2,<1.1,7.1,9.5,0.4,140
2734,LYNX PASS CO,1994,4.8,15.8,7.5,<1.7,<3,<0.5,3.9,1.1,7.7,13.7,0.7,109
2735,LYNX PASS CO,1995,5,10,3.9,<1.7,<3,<0.5,3.8,<1.1,5.8,11.7,0.7,127
2736,LYNX PASS CO,1996,5.1,7.9,4,<1.7,<0.9,<0.5,1.4,<1.1,4.6,8,0.4,178
2737,LYNX PASS CO,1997,5,10,4.8,<1.7,,1,1.7,<1.1,5.8,8.6,1,137
2738,LYNX PASS CO,1998,4.7,20,3.5,0.8,0.4,<0.5,2.9,1.1,6.9,14.8,0.5,122
2739,LYNX PASS CO,1999,5.9,1.3,18.9,2.5,2,0.7,3.7,1.4,7.5,13.1,0.5,122
2740,LYNX PASS CO,2000,5,10,6.5,1.6,1.1,0.6,3.3,<0.6,6.5,12,0.5,142
2741,LYNX PASS CO,2001,5.2,6.3,8.5,1.6,1.8,0.9,8.4,<0.6,6.2,15.8,0.7,112
2742,LYNX PASS CO,2002,5,10,10,1.6,1.6,0.5,3.5,1.1,5.6,16.6,0.42,109
2743,LYNX PASS CO,2003,5,10,5.5,1.6,<1,0.5,4.5,0.8,5,12.5,0.31,130
2744,LYNX PASS CO,2004,5.4,4,11,1.5,<1,1.1,2.9,0.6,3.5,11.8,0.28,81
2745,LYNX PASS CO,2005,5.3,5,7,0.8,2.2,<0.4,3.2,1.1,5.8,9.5,0.24,119
2746,LYNX PASS CO,2006,5.8,1.6,7.5,0.8,1.3,<0.4,3.2,1.1,4.4,10.2,0.31,173
968,MOLAS LAKE CO,1993,5.1,7.9,<3.1,<1.7,<3,<0.5,1.4,<1.1,6.2,5,0.2,163
969,MOLAS LAKE CO,1994,5.7,2,10.5,<1.7,<3,9.7,3.9,3.4,6.2,8.1,2.8,170
970,MOLAS LAKE CO,1995,5.3,5,8,<1.7,<3,<0.5,3,<1.1,5.4,8.9,0.6,213
971,MOLAS LAKE CO,1996,6.4,0.4,23.9,2.5,1.7,1.3,3.4,<1.1,5.4,7.2,0.6,163
972,MOLAS LAKE CO,1997,5.5,3.2,12.3,<1.7,,0.5,2.2,<1.1,5.6,9.3,0.9,193
973,MOLAS LAKE CO,1998,5.2,6.3,9,0.8,0.4,<0.5,2.4,1.1,6.2,8.9,0.3,140
974,MOLAS LAKE CO,1999,6.4,0.4,34.4,2.5,3.5,0.7,4.2,2.3,8.1,9.9,0.3,119
975,MOLAS LAKE CO,2000,5.2,6.3,7.5,1.6,1.1,0.6,2.9,<0.6,4,8.9,0.6,137
976,MOLAS LAKE CO,2001,5.3,5,8,0.8,1.3,0.5,2.7,<0.6,5.4,10.6,0.51,165
977,MOLAS LAKE CO,2002,6.3,0.5,25.4,2.5,3.7,1.3,2.6,3.7,4.4,10.8,0.35,89
978,MOLAS LAKE CO,2003,5.8,1.6,20.4,4,10.1,6.5,4,10.2,5.6,10.6,1.28,89
979,MOLAS LAKE CO,2004,5.5,3.2,9.3,1.6,3.8,1.6,3.5,4.5,5,9.1,1.1,99
980,MOLAS LAKE CO,2005,5.2,6.3,3.5,<0.2,1.2,0.6,2.5,0.8,3.3,6.2,<0.2,198
981,MOLAS LAKE CO,2006,6,1,26.4,3.3,2.4,0.7,4.7,2.8,5,12.8,0.81,178
982,MOLAS LAKE CO,2007,6.5,0.3,40.9,3.6,2.7,0.9,3.9,2.3,7.1,12.1,0.41,127
983,MOLAS LAKE CO,2008,5.7,2,4,<0.2,<1,<0.4,1.4,0.6,2.1,5.1,<0.2,208
984,MOLAS LAKE CO,2009,6.5,0.3,27.9,3.3,1.2,0.7,3.5,0.8,4.4,7.4,0.39,160
985,MOLAS LAKE CO,2010,5.3,5,4.5,0.8,1.5,0.6,3.2,1.1,2.1,6.4,0.34,147
986,MOLAS LAKE CO,2011,5.7,2,14.1,2,2.1,1,2.8,1.1,4.2,8,0.49,152
987,MOLAS LAKE CO,2012,5.6,2.5,23,3.3,2.2,1,5.4,1.7,4.6,8.5,0.5,142
988,MOLAS LAKE CO,2013,5.9,1.3,25.9,3.3,1.3,0.5,3.5,1.4,3.5,7.1,0.5,132
989,MOLAS LAKE CO,2014,6.3,0.5,18.5,2.5,1.6,0.7,4.8,1.3,4,7.5,0.41,173
990,MOLAS LAKE CO,2015,5.6,2.5,5,0.9,1.5,0.6,3.2,1.4,2.3,4.6,0.28,112
991,MOLAS LAKE CO,2016,6.6,0.3,30.9,2.5,3,0.6,2.9,2.3,2.9,5.6,<0.2,117
992,MOLAS LAKE CO,2017,5.5,3.2,5,0.8,0.4,0.4,2.2,0.8,2.3,4.4,0.28,216
993,MOLAS LAKE CO,2018,6.3,0.5,26.6,3.1,2.6,0.8,6.4,2,5.4,7.9,0.58,132
2754,MOLAS LAKE CO,1993,5.1,7.9,<3.1,<1.7,<3,<0.5,1.4,<1.1,6.2,5,0.2,163
2755,MOLAS LAKE CO,1994,5.7,2,10.5,<1.7,<3,9.7,3.9,3.4,6.2,8.1,2.8,170
2756,MOLAS LAKE CO,1995,5.3,5,8,<1.7,<3,<0.5,3,<1.1,5.4,8.9,0.6,213
2757,MOLAS LAKE CO,1996,6.4,0.4,23.9,2.5,1.7,1.3,3.4,<1.1,5.4,7.2,0.6,163
2758,MOLAS LAKE CO,1997,5.5,3.2,12.3,<1.7,,0.5,2.2,<1.1,5.6,9.3,0.9,193
2759,MOLAS LAKE CO,1998,5.2,6.3,9,0.8,0.4,<0.5,2.4,1.1,6.2,8.9,0.3,140
2760,MOLAS LAKE CO,1999,6.4,0.4,34.4,2.5,3.5,0.7,4.2,2.3,8.1,9.9,0.3,119
2761,MOLAS LAKE CO,2000,5.2,6.3,7.5,1.6,1.1,0.6,2.9,<0.6,4,8.9,0.6,137
2762,MOLAS LAKE CO,2001,5.3,5,8,0.8,1.3,0.5,2.7,<0.6,5.4,10.6,0.51,165
2763,MOLAS LAKE CO,2002,6.3,0.5,25.4,2.5,3.7,1.3,2.6,3.7,4.4,10.8,0.35,89
2764,MOLAS LAKE CO,2003,5.8,1.6,20.4,4,10.1,6.5,4,10.2,5.6,10.6,1.28,89
2765,MOLAS LAKE CO,2004,5.5,3.2,9.3,1.6,3.8,1.6,3.5,4.5,5,9.1,1.1,99
2766,MOLAS LAKE CO,2005,5.2,6.3,3.5,<0.2,1.2,0.6,2.5,0.8,3.3,6.2,<0.2,198
2767,MOLAS LAKE CO,2006,6,1,26.4,3.3,2.4,0.7,4.7,2.8,5,12.8,0.81,178
2768,MOLAS LAKE CO,2007,6.5,0.3,40.9,3.6,2.7,0.9,3.9,2.3,7.1,12.1,0.41,127
2769,MOLAS LAKE CO,2008,5.7,2,4,<0.2,<1,<0.4,1.4,0.6,2.1,5.1,<0.2,208
2770,MOLAS LAKE CO,2009,6.5,0.3,27.9,3.3,1.2,0.7,3.5,0.8,4.4,7.4,0.39,160
2771,MOLAS LAKE CO,2010,5.3,5,4.5,0.8,1.5,0.6,3.2,1.1,2.1,6.4,0.34,147
2772,MOLAS LAKE CO,2011,5.7,2,14.1,2,2.1,1,2.8,1.1,4.2,8,0.49,152
2773,MOLAS LAKE CO,2012,5.6,2.5,23,3.3,2.2,1,5.4,1.7,4.6,8.5,0.5,142
2774,MOLAS LAKE CO,2013,5.9,1.3,25.9,3.3,1.3,0.5,3.5,1.4,3.5,7.1,0.5,132
2775,MOLAS LAKE CO,2014,6.3,0.5,18.5,2.5,1.6,0.7,4.8,1.3,4,7.5,0.41,173
2776,MOLAS LAKE CO,2015,5.6,2.5,5,0.9,1.5,0.6,3.2,1.4,2.3,4.6,0.28,112
2777,MOLAS LAKE CO,2016,6.6,0.3,30.9,2.5,3,0.6,2.9,2.3,2.9,5.6,<0.2,117
2778,MOLAS LAKE CO,2017,5.5,3.2,5,0.8,0.4,0.4,2.2,0.8,2.3,4.4,0.28,216
