,StationName,WaterYear,pH,Hydrogen,Calcium,Magnesium,Sodium,Potassium,Ammonium,Chloride,Sulfate,Nitrate,Dissolved_organic_carbon,Snow_depth
122,BIG SKY MT,2010,5.5,3.2,5.5,1.6,2.6,2.3,4.8,3.1,3.7,6.3,0.59,165.0
123,BIG SKY MT,2011,5.8,1.6,8,1.6,5.4,0.7,3.4,4.2,3.5,4,0.66,264.0
124,BIG SKY MT,2012,5.1,7.9,6.5,<1.6,1.3,0.8,6.2,1.4,2.5,3,0.4,249.0
125,BIG SKY MT,2013,5.4,4.0,8.5,<1.6,2.6,0.5,6.4,3.1,3.1,5.7,0.5,147.0
126,BIG SKY MT,2014,6.0,1.0,7,1.6,4.3,0.6,3.2,4.3,2.3,3.4,0.35,259.0
127,BIG SKY MT,2015,5.8,1.6,7.8,1.9,5,0.9,4.4,2.5,4.6,3.9,0.57,147.0
128,BIG SKY MT,2016,5.6,2.5,4,0.8,1.3,0.6,4.8,<0.6,1.9,3.6,0.42,130.0
129,BIG SKY MT,2017,5.6,2.5,5,0.8,2.6,0.4,3.7,1.4,2.9,3.4,0.32,132.0
130,BIG SKY MT,2018,5.7,2.0,5.2,1.3,1.1,0.7,5.8,0.8,2.3,4,0.68,175.0
140,BROOKLYN LAKE WY,1993,5.0,10.0,3.9,<1.7,<3,<0.5,3.5,1.1,8.7,7.5,0.5,178.0
141,BROOKLYN LAKE WY,1994,5.2,6.3,13.9,3.3,4.8,1.8,5.4,1.1,9.2,9.4,0.9,394.0
142,BROOKLYN LAKE WY,1994,5.2,6.3,7,2,<3,1.3,5.4,1.7,11,14.1,1.4,216.0
143,BROOKLYN LAKE WY,1995,5.0,10.0,6.5,<1.7,<3,0.8,5.2,1.1,8.7,9.7,1.2,173.0
144,BROOKLYN LAKE WY,1996,5.2,6.3,5.5,<1.7,1.3,0.8,3.2,1.1,6.7,9.2,0.8,218.0
145,BROOKLYN LAKE WY,1997,4.9,12.6,5.1,<1.7,,1,2.7,<1.1,7.3,9.3,1,221.0
146,BROOKLYN LAKE WY,1998,5.0,10.0,6,1.6,1.3,1.3,4.4,1.4,8.1,11.6,0.7,229.0
147,BROOKLYN LAKE WY,1999,5.2,6.3,8,1.6,1.7,0.5,4.9,1.7,7.3,9.9,0.4,239.0
148,BROOKLYN LAKE WY,2000,4.9,12.6,5,1.6,1.1,<0.4,3.9,0.6,5.8,8.5,0.41,224.0
149,BROOKLYN LAKE WY,2001,5.5,3.2,7.3,1.2,1.6,1.1,4.5,<0.6,6,10.8,0.9,165.0
150,BROOKLYN LAKE WY,2002,6.0,1.0,24.4,4.9,5.5,2.3,4.3,1.4,11.9,13.5,1.55,170.0
151,BROOKLYN LAKE WY,2003,5.6,2.5,15.9,4,4,1.8,7.9,2,10.2,11.3,1.42,157.0
152,BROOKLYN LAKE WY,2004,5.2,6.3,13,3.5,1,5.1,6.4,1.7,9.8,12.4,1.47,147.0
153,BROOKLYN LAKE WY,2005,5.4,4.0,6.5,0.8,1.5,0.7,4.9,<0.6,6,6.7,0.31,188.0
154,BROOKLYN LAKE WY,2006,5.4,4.0,7.5,1.6,2.3,1.5,5,1.4,7.9,9.9,0.98,231.0
155,BROOKLYN LAKE WY,2007,5.7,2.0,12.4,3.4,1.6,5.1,<1,1.7,7.5,8.5,1.52,152.0
156,BROOKLYN LAKE WY,2008,5.3,5.0,10.5,1.6,2.4,0.8,4,2.3,6.9,9.8,0.67,236.0
157,BROOKLYN LAKE WY,2009,6.0,1.0,12.9,2.5,2.7,1.3,5.4,1.1,6.2,7.1,0.86,244.0
158,BROOKLYN LAKE WY,2010,5.2,6.3,5.5,1.6,1.1,0.9,6.2,0.6,5.2,7.2,0.74,246.0
159,BROOKLYN LAKE WY,2011,5.5,3.2,9.8,2.1,1.7,1.6,4.4,0.8,5.2,6.7,1.14,290.0
